Date,AAPL,ADI,AMZN,BKR,GM,GOOG,GS,INDA,IVOG,JPM,KRE,KULR,LLY,META,MNSO,MSFT,NVDA,SHOP,SPY,TSLA,TSM,UNH,USXF,VO,VOT,XLV
2024-04-11,174.40892028808594,196.24696350097656,189.0500030517578,33.37477493286133,43.51765441894531,160.21434020996094,390.82928466796875,51.97398376464844,109.40621948242188,192.17678833007812,45.92707061767578,0.8100000023841858,755.9873657226562,521.7221069335938,21.135557174682617,425.5392150878906,90.59456634521484,71.56999969482422,513.0286254882812,174.60000610351562,145.73468017578125,436.6251525878906,43.78977966308594,240.89102172851562,230.65585327148438,139.30697631835938
2024-04-12,175.91348266601562,189.95370483398438,186.1300048828125,32.451786041259766,42.76324462890625,158.6200714111328,382.9729919433594,51.298866271972656,107.84837341308594,179.74720764160156,45.516136169433594,0.800000011920929,748.0750732421875,510.4930725097656,20.801475524902344,419.54290771484375,88.1651382446289,70.0,505.9472961425781,171.0500030517578,141.1012725830078,434.1342468261719,42.99612808227539,237.18411254882812,226.58741760253906,137.2323455810547
2024-04-15,172.0673828125,187.99755859375,183.6199951171875,31.862646102905273,42.3761100769043,155.77029418945312,394.17242431640625,50.89181137084961,106.52867126464844,179.84555053710938,45.340023040771484,0.5799999833106995,747.209228515625,498.8551940917969,20.37895965576172,411.3290710449219,85.98065185546875,68.56999969482422,499.6087341308594,161.47999572753906,138.74496459960938,440.4900817871094,42.44056701660156,234.4261474609375,222.72792053222656,136.9557342529297
2024-04-16,168.7693328857422,188.92620849609375,183.32000732421875,31.518978118896484,42.34632873535156,155.44149780273438,390.2196350097656,50.7826042175293,106.20122528076172,177.7903289794922,44.76274871826172,0.5099999904632568,743.1983032226562,498.386474609375,18.688901901245117,412.2637634277344,87.39432525634766,68.69999694824219,498.69757080078125,157.11000061035156,138.40834045410156,463.4817810058594,42.51001739501953,233.2794647216797,222.3797607421875,137.00509643554688
2024-04-17,167.39430236816406,187.1479034423828,181.27999877929688,31.440427780151367,42.147796630859375,156.31834411621094,397.1517028808594,50.60389709472656,105.2188949584961,177.0823211669922,44.841026306152344,0.47999998927116394,747.209228515625,492.81182861328125,20.20209312438965,409.5390930175781,84.01512145996094,69.41000366210938,495.7461242675781,155.4499969482422,137.64601135253906,473.46527099609375,41.954463958740234,232.65670776367188,220.7583770751953,136.7680206298828
2024-04-18,166.437744140625,185.32020568847656,179.22000122070312,31.617170333862305,42.12794494628906,156.89627075195312,396.3650817871094,50.70317840576172,104.77237701416016,178.23284912109375,45.11498260498047,0.4099999964237213,742.4120483398438,500.42083740234375,20.516521453857422,402.0113830566406,84.65097045898438,69.51000213623047,494.72601318359375,149.92999267578125,130.95330810546875,487.4915771484375,41.885013580322266,232.41944885253906,219.68408203125,136.7581329345703
2024-04-19,164.40512084960938,181.15103149414062,174.6300048828125,32.00992965698242,42.0584602355957,155.16249084472656,397.240234375,50.96131134033203,104.50447082519531,182.7071075439453,46.29887008666992,0.44999998807907104,722.8651733398438,479.7478332519531,20.10383415222168,396.8901672363281,76.18197631835938,69.66999816894531,490.4078674316406,147.0500030517578,126.42879486083984,495.34991455078125,41.230255126953125,232.2909698486328,217.59515380859375,137.2718505859375
2024-04-22,165.24208068847656,184.06549072265625,177.22999572753906,31.872461318969727,42.89228820800781,157.38450622558594,410.3668212890625,51.51728820800781,105.51657104492188,186.25701904296875,47.140316009521484,0.44999998807907104,727.8613891601562,480.406005859375,20.840778350830078,398.7198791503906,79.49919128417969,70.55000305175781,494.9241027832031,142.0500030517578,128.45838928222656,485.5640869140625,41.716365814208984,234.16912841796875,219.63433837890625,137.79542541503906
2024-04-23,166.29824829101562,187.64187622070312,179.5399932861328,32.40269088745117,44.76838684082031,159.34744262695312,416.905517578125,51.63642501831055,107.15379333496094,188.94155883789062,47.678443908691406,0.5199999809265137,742.1532592773438,494.73651123046875,21.656330108642578,405.29296875,82.40350341796875,74.01000213623047,500.7972106933594,144.67999267578125,132.1017608642578,480.5723571777344,42.390968322753906,236.14617919921875,223.08602905273438,139.59347534179688
2024-04-24,168.41062927246094,194.1327362060547,176.58999633789062,32.07866287231445,44.748538970947266,160.5232391357422,415.9616394042969,51.63642501831055,107.25301361083984,189.8659210205078,47.95240020751953,0.4699999988079071,728.727294921875,492.1436462402344,22.18692970275879,406.774658203125,79.65814971923828,72.26000213623047,500.55950927734375,162.1300048828125,131.64634704589844,481.67938232421875,42.232242584228516,236.73928833007812,223.3446502685547,139.15878295898438
